goat_taxon_id	genome_id	species_name	category	ecological_role	endemic_status	iucn_status	genome_assembly_level
875661	none	Vachellia xanthophloea_syn_Acacia_xanthoph	Wild-plant	Keystone	Native	LC	none
70070	none	Kigelia africana	Wild-plant	Keystone	Native	LC	none
1704625	none	Croton megalocarpus	Wild-plant	Pioneer	Native	LC	none
379279	none	Prunus africana	Wild-plant	Provider	Native	VU	none
1593107	none	Aloe secundiflora	Wild-plant	Facilitator	Native	LC	none
62753	none	Juniperus procera	Wild-plant	Keystone	Native	LC	none
132963	none	Warburgia salutaris	Wild-plant	Provider	Native	VU	none
549619	GCA_035236585.1	Warburgia ugandensis	Wild-plant	Provider	Native	CR	chromosome_level
138046	none	Vachellia tortilis_Acacia	Wild-plant	Keystone	Native	LC	none
205067	none	Vachellia drepanolobium	Wild-plant	Keystone	Native	LC	none
69109	GCA_029448705.1	Adansonia digitata	Wild-plant	Keystone	Native	LC	scaffold_level
2613438	none	Ipomoea longituba	Wild-plant	Geophyte	Native	NYC	none
691134	none	Ipomoea hildebrandtii	Wild-plant	Facilitator	Native	NYC	none
2613428	none	Ipomoea lapidosa	Wild-plant	Facilitator	Native	NYC	none
2511968	none	Ipomoea oenotherae	Wild-plant	Facilitator	Native	NYC	none
1729743	none	Ipomoea marmorata	Wild-plant	Facilitator	Native	NYC	none
2613460	none	Ipomoea paolii	Wild-plant	Facilitator	Native	NYC	none
9785	GCA_030014295.1	Loxodonta africana	Wildlife	Keystone	Native	EN	chromosome_level
439328	GCA_013496395.1	Giraffa camelopardalis ssp. tippelskirchi	Wildlife	Keystone	Native	VU	chromosome_level
9945	GCA_006416875.1	Taurotragus oryx	Wildlife	Grazer	Native	LC	scaffold_level
69297	GCA_040438115.1	Tragelaphus eurycerus_isaaci	Wildlife	Browser	Endemic	NT	chromosome_level
89248	GCA_021613505.1	Equus quagga	Wildlife	Grazer	Native	NT	chromosome_level
9792	none	Equus grevyi	Wildlife	Grazer	Native	EN	none
9689	GCA_018350215.1	Panthera leo	Wildlife	Predator	Native	VU	chromosome_level
1081385	GCA_015501595.1	Diceros bicornis	Wildlife	Keystone	Native	CR	scaffold_level
9833	GCA_030028045.1	Hippopotamus amphibius	Wildlife	Ecosystem-engineer	Native	VU	chromosome_level
9555	GCA_008728515.1	Papio anubis	Wildlife	Disperser	Native	LC	chromosome_level
9927	GCA_006408615.1	Connochaetes taurinus	Wildlife	Grazer	Native	LC	scaffold_level
32536	GCA_027475565.2	Acinonyx jubatus	Wildlife	Predator	Native	VU	chromosome_level
9970	GCA_902825105.1	Syncerus caffer	Wildlife	Grazer	Native	NT	scaffold_level
9556	GCA_963574715.1	Papio cynocephalus	Wildlife	Disperser	Native	LC	scaffold_level
591934	none	Procolobus rufomitratus	Wildlife	Disperser	Endemic	CR	none
9532	none	Cercocebus galeritus	Wildlife	Disperser	Native	CR	none
9691	GCA_024362865.1	Panthera pardus pardus	Wildlife	Predator	Native	VU	scaffold_level
9915	GCA_030267375.1	Bos indicus_maasai_zebu	Livestock	Grazer	Native	LICRC	chromosome_level
9913	GCA_043882115.1	Bos taurus_red_maasai_type	Livestock	Grazer	Native	LICRC	chromosome_level
9915_1	none	Bos indicus_sahiwal_breed	Livestock	Grazer	Native	LICRC	none
9915_2	none	Bos indicus_borana_type	Livestock	Grazer	Native	LICRC	none
9940	none	Ovis aries_maasai_zebu_type	Livestock	Grazer	Native	URS	none
9940_1	none	Ovis aries_red_maasai_sheep	Livestock	Grazer	Native	URS	none
9940_2	none	Ovis aries_blackhead_somali_type	Livestock	Grazer	Native	URS	none
